ID,Vaccine,Live,final_Bd,Infected
10,ASW,Panama,44694.1396,1
17,ASW,Panama,13306.7632,1
9,ASW,Panama,2777.74813,1
11,ASW,Panama,248.02066,1
12,ASW,Panama,187.934733,1
14,ASW,Panama,106.493149,1
21,ASW,Panama,99.3669988,1
15,ASW,Panama,96.613103,1
83,ASW,Panama,61.6866989,1
48,ASW,Panama,20.9222624,1
90,ASW,Panama,8.78849709,1
13,ASW,Panama,0,0
16,ASW,Panama,0,0
19,ASW,Panama,0,0
41,ASW,Panama,0,0
50,ASW,Panama,0,0
46,CA,Panama,246.707587,1
95,CA,Panama,98.70169915,1
52,CA,Panama,93.2228255,1
32,CA,Panama,48.1795669,1
24,CA,Panama,26.6086795,1
76,CA,Panama,18.8711617,1
85,CA,Panama,15.31295485,1
28,CA,Panama,0,0
43,CA,Panama,0,0
56,CA,Panama,0,0
60,CA,Panama,4.34810943,1
64,CA,Panama,0,0
68,CA,Panama,0,0
72,CA,Panama,0,0
92,CA,Panama,0,0